Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Defining business requirements as concerns in data warehouse,D. Dahiya; U. Batra,"Department of CSE & IT, ITM, Gurgaon, India; Department of CSE & IT, ITM, Gurgaon, India",2009 2nd IEEE International Conference on Computer Science and Information Technology,11 Sep 2009,2009,,,535,538,"This paper discusses the business requirements as concerns in a data warehouse in general and derives the specific information requirements for the AOSDDL (Aspect Oriented Software Development Design Language) design language architecture to implement a data warehouse that is proposed within this work. Research into aspect based business requirements so far has shown that no single solution will meet all possible requirements of aspect oriented data warehouse, and thus, multiple systems for domains with different demands must be able to co-exist and interoperate. The goal is to thoroughly define what the users must have to satisfy their business needs.",,978-1-4244-4519-6,10.1109/ICCSIT.2009.5234479,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5234479,aspect;data warehouse;business;design;language,Data warehouses;Unified modeling language;Programming;Software design;Object oriented modeling;Information systems;Computer architecture;Information analysis;Process design;Documentation,business data processing;data warehouses;object-oriented languages;object-oriented programming;program verification;software architecture,business requirement;data warehouse;aspect oriented software development design language;AOSDDL design language architecture,,,,19,IEEE,11 Sep 2009,,,IEEE,IEEE Conferences
Developing a data warehouse as the first step for information systems reengineering,Shi-Ming Huang; Wei-Chen Lour; Hsiu-Feng Huang; Chien-Ming Huang; Shing-Han Li; Chung-Da Fu,"Department of Information Management, Tatung Institute of Technology, Taipei, Taiwan; Department of Information Management, Tatung Institute of Technology, Taipei, Taiwan; Graduate School of Management, Tatung Institute of Technology, Taipei, Taiwan; Department of Information Management, Tatung Institute of Technology, Taipei, Taiwan; Department of Information Management, Tatung Institute of Technology, Taipei, Taiwan; Department of Information Management, Tatung Institute of Technology, Taipei, Taiwan","1997 IEEE International Conference on Systems, Man, and Cybernetics. Computational Cybernetics and Simulation",6 Aug 2002,1997,3,,2403,2408 vol.3,"All practitioners of information system know that building an industrial-strength information system is both a long-term commitment and a long-term investment for an organization. Any surviving system should encounter many times of changes either major or minor; and these changes might induce the system serious problems and a lot of maintenance cost. According to the recent development of database reengineering, data warehousing and business reengineering, many organizations have had their information system operating for years. They are facing the problems of introducing a new database system and the re-designation of the data processing procedure. For the information system to serve effectively and efficiently as time goes by, there are two ways to improve it. Firstly, re-design the whole system by using new technology and new database models; secondly, introduce a method that will make use of the existing systems to the maximum extent while the new requirements are still satisfied, i.e. Information systems reengineering. In this paper, we propose a framework for practitioners to complete the reengineering work more smoothly. The authors have applied this framework to the system reengineering work for a manufacturer. An EIS prototype is developed, according to the new requirements of high-level managers, and the system is operating currently.",1062-922X,0-7803-4053-1,10.1109/ICSMC.1997.635287,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=635287,,Data warehouses;Information systems;Investments;Costs;Warehousing;Business process re-engineering;Database systems;Data processing;Management information systems;Manufacturing,management information systems;systems re-engineering;systems analysis;database management systems,data warehouse;information systems reengineering;industrial-strength information system;database reengineering;business reengineering;EIS prototype;high-level managers,,,,13,IEEE,6 Aug 2002,,,IEEE,IEEE Conferences
Information Management as Aspect Requirements in Data Warehouse,D. Dahiya; U. Batra; S. Dahiya,"Department of CSE & IT, ITM, India; Department of CSE & IT, ITM, Gurgaon, India; NIC, New Delhi, India",2009 International Conference on New Trends in Information and Service Science,25 Sep 2009,2009,,,924,931,"It has become apparent that design language research deals largely with trade-offs. For example, many of the aspect oriented design systems trade-off implementation dependency for wide tool support or limited support with general purpose flexibility. This paper discusses the requirements for aspect oriented design language in general and derives the specific information requirements for the AOSDDL (aspect oriented software development design language) design language architecture to implement a data warehouse that is proposed within this work. Research into aspect oriented design languages so far has shown that no single solution will meet all possible requirements of aspect oriented data warehouse, and thus, multiple systems for domains with different demands must be able to co-exist and interoperate. The challenge in designing aspect oriented data warehouse solutions therefore is to draw the optimal line between trade-offs depending on the requirements at hand. For this, it is crucial to understand fully the requirements of a given domain.",,978-0-7695-3687-3,10.1109/NISS.2009.25,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5260758,data;warehouse;aspect;AOSDDL;concern,Information management;Data warehouses;Programming;Software design;Information systems;Unified modeling language;Object oriented modeling;Computer architecture;Process design;Documentation,data warehouses;object-oriented languages;software architecture,information management;data warehouse;aspect oriented software development design language,,,,20,IEEE,25 Sep 2009,,,IEEE,IEEE Conferences
Using ontologies and requirements for constructing and optimizing data warehouses,L. Bellatreche; S. Khouri; I. Boukhari; R. Bouchakri,"LIAS, ENSMA Poitiers University Futuroscope, France; LIAS, ENSMA Poitiers University Futuroscope, France; LIAS, ENSMA Poitiers University Futuroscope, France; LIAS, ENSMA Poitiers University Futuroscope, France",2012 Proceedings of the 35th International Convention MIPRO,16 Jul 2012,2012,,,1568,1573,"Developing database (DB) and data warehouse (DW) applications pass through three main phrases imposed by the ANSI/SPARC architecture: conceptual modeling, logical modeling and physical modeling. Some research efforts add a new ontological level above the conceptual one. This architecture has created two main actors whose presence is mandatory to ensure the success of applications: “conceptual designer” for conceptual and logical levels and “database administrators” (DBA) for physical level. Note that some administration tasks need some inputs from conceptual phase. Unfortunately, interaction between these two actors is negligible. Recently, some research and industrial efforts identify a highest cost of DBA and propose tools (advisors) to replace them, in order to ensure what we call zero-administration. The main limitation of these tools is their robustness. In this paper, we propose a new human resource management for database applications. Instead of replacing DBA, we claim to delegate some DBA tasks to conceptual designers. These tasks are usually those having inputs user requirements that may be translated to SQL queries. First, we propose a user make user requirements persistent into DWs. An analysis of requirements is given to identify SQL queries that may be used for physical design phase. Finally, a selection of indexes based on user requirements is presented and evaluated using star schema benchmark.",,978-953-233-068-7,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6240902,,Ontologies;Unified modeling language;Indexes;Optimization;Data models;Benchmark testing,data warehouses;formal specification;ontologies (artificial intelligence),ontologies;data warehouses;ANSI/SPARC architecture;conceptual modeling;logical modeling;physical modeling;conceptual designer;database administrators;zero-administration;human resource management;database applications;user requirements;SQL queries,,,,13,,16 Jul 2012,,,IEEE,IEEE Conferences
Validation of data warehouse requirements - model traceability metrics using a formal framework,Rakhee; M. Kumar,"Guru Gobind Singh Inderaprastha University, New Delhi, INDIA; Guru Gobind Singh Inderaprastha University, New Delhi, INDIA",2015 2nd International Conference on Computing for Sustainable Global Development (INDIACom),4 May 2015,2015,,,216,221,"In recent years, data warehouse quality has acquired lots of attention as many important decisions are based on the data stored in data warehouses. Various researchers proved that metrics are quality indicators of data warehouses. These metrics have been proposed at the requirement, conceptual, logical and physical levels. Further, validation of metrics has also been done at the conceptual, logical and physical levels to show their practical utility. However no validation of metrics has been done at the requirement level. In this paper, our focus is on formal validation of data warehouse requirements-model metrics, (i.e. traceability metrics) using Briand's framework, which is a property-based framework. The result of validation shows that the traceability metrics are defined properly and satisfy all the properties required for a size measure as per Briand's framework.",,978-9-3805-4416-8,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7100248,Briand's framework;Data warehouse;Metrics;Requirements-model;Traceability metrics;Validation,Size measurement;Data warehouses;Unified modeling language;Object oriented modeling;Length measurement;Complexity theory,data warehouses,data warehouse requirements validation;model traceability metrics;formal framework;data warehouse quality;physical levels;logical levels;conceptual levels;practical utility;data warehouse requirements-model metrics,,,,23,,4 May 2015,,,IEEE,IEEE Conferences
Towards data warehouse quality through integrated requirements analysis,Munawar; N. Salim; R. Ibrahim,"Department of Information System, Universiti Teknologi Malaysia, Johor Bahru, Malaysia; Department of Information System, Universiti Teknologi Malaysia, Johor Bahru, Malaysia; Department of Information System, Universiti Teknologi Malaysia, Johor Bahru, Malaysia",2011 International Conference on Advanced Computer Science and Information Systems,26 Jan 2012,2011,,,259,264,"Few researches have been carried out to provide means of requirements analysis in the novel field of data warehousing. This paper proposes a methodology for requirements analysis in the context of data warehouse systems denoted by: integrated requirement analysis for designing data warehouse (IRADAH), as a way to accomplish the peculiar aspects inherent to such systems. Focus of this paper is quality integration (business quality, technical quality, and information quality) into the requirements analysis to reduce the risk of failure in data warehouse project. The paper aims to tackle four research questions: how to integrate the four existing approaches to warehouse design; how to identify warehouse elements from operational data sources; how to embody corporate strategy and business objectives; and how to translate user requirements into appropriate design elements.",,978-979-1421-11-9,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6140773,,Data warehouses;Data models;Warehousing;Conferences;Adaptation models;Organizations,data warehouses;formal specification;software fault tolerance;software quality,data warehouse quality;integrated requirements analysis;IRADAH;quality integration;business quality;technical quality;information quality;data sources,,2,,33,,26 Jan 2012,,,IEEE,IEEE Conferences
Requirements-driven modeling for decision-making systems,N. El Moukhi; I. El Azami; A. Mouloudi; A. El Mounadi,"Faculty of Sciences, Ibn Tofail University, Kenitra, Morocco; Faculty of Sciences, Ibn Tofail University, Kenitra, Morocco; Faculty of Sciences, Ibn Tofail University, Kenitra, Morocco; LASTIMI Laboratory, Mohammadia School of Engineering Mohammed V University, Rabat, Morocco","2018 International Conference on Electronics, Control, Optimization and Computer Science (ICECOCS)",13 Jan 2019,2018,,,1,7,"A data warehouse allows to integrate heterogeneous data sources for analysis purposes. One of the keys of success of the data warehousing process is the design and definition of the warehouse model based on the requirements of decision makers. This paper presents and analyzes the set of requirements-driven methods for designing data warehouses and classifies them into two broad categories: users-driven and goals-driven methods. Then, it introduces a new method called XCube Assist which allows to exploit all advantages of the users-driven approach. Our new method is mainly based on the semantic analysis of the requirements expressed in natural language and their confrontation with data sources and the search history. At the end of the process a multidimensional model is generated in XML language.",,978-1-5386-7868-8,10.1109/ICECOCS.2018.8610523,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8610523,Data warehouse;users-driven method;requirements-driven method;multidimensional model;WordNet,Data warehouses;Unified modeling language;Data models;Business;Analytical models;Adaptation models;Semantics,data analysis;data mining;data warehouses;decision making;decision support systems;XML,data warehouse;goals-driven methods;users-driven approach;semantic analysis;multidimensional model;requirements-driven modeling;decision-making systems;heterogeneous data sources;data warehousing process;decision makers;requirements-driven methods;data sources;XCube Assist method;natural language;XML language,,1,,15,IEEE,13 Jan 2019,,,IEEE,IEEE Conferences
"An Integrated Strategy Based in Processes, Requirements, Measurement and Evaluation for the Formalization of Necessities in Data Warehouse Projects",A. V. Nathalí; D. M. José,"Universidad de Buenos Aires, Buenos Aires, AR; Eng. Sch., Nat. Univ. of La Pampa, Santa Rosa, Argentina",2015 International Workshop on Data Mining with Industrial Applications (DMIA),18 Aug 2016,2015,,,8,17,"In this work we proposes an Integrated Strategy based in Processes, Requirements, Measurement and Evaluation, whose objective is to identify and maintain a traceability of such requirements at early stages in data warehouse projects. Our strategy starts with the process formalization using SPEM to improve its communicability and extensibility. From the process formalization, we continue with the definition of the measurement and evaluation (M&E) project to quantify the behavior of each process and its necessities. This enables progress in the project scoping, the early identification of its risks, and at the same time establishes a traceability mechanism between the decisions and the artifacts that may generate throughout its life cycle. This represents an important compliment regarding life cycles as proposed by Kimball, in which the requirement phase is not formalized and there is no strategy to clearly define the aspects to quantify and/or analyze to the effects of supporting a decision making process. Finally, an example of the strategy application for one process of the Ministry of Education of Ecuador is shown.",,978-1-4673-8111-6,10.1109/DMIA.2015.13,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7544966,Data warehouse;Requirements;Processes;Measurement and Evaluation,Data warehouses;Business;Measurement;Context;Software;Unified modeling language,data warehouses;decision making;risk management,integrated strategy;processes-requirements-measurement-evaluation;data warehouse projects;process formalization;SPEM;communicability;measurement and evaluation project;M&E project;project scoping;risk identification;life cycle;decision making process;strategy application;Ministry of Education;Ecuador,,,,24,IEEE,18 Aug 2016,,,IEEE,IEEE Conferences
A method for demand-driven information requirements analysis in data warehousing projects,R. Winter; B. Strauch,"Institute of Information Management, University of Saint Gallen, Switzerland; Principality of Liechtenstein, LGT Financial Services, Vaduz, Liechtenstein","36th Annual Hawaii International Conference on System Sciences, 2003. Proceedings of the",6 Feb 2003,2003,,,9 pp.,,"Information requirements analysis for data warehouse systems differs significantly from requirements analysis for conventional information systems. Existing data warehouse specific approaches are reviewed. A comprehensive methodology that supports the entire process of determining information requirements of data warehouse users, matching information requirements with actual information supply, evaluating and homogenizing resulting information requirements, establishing priorities for unsatisfied information requirements, and formally specifying the results as a basis for subsequent phases of the data warehouse development (sub)project is proposed. Its components as well as its overall design are based partially on literature review, but mainly on findings from a four year collaboration project with several large companies, mostly from the service sector. While an application of the entire methodology is still outstanding, some components have been successfully applied in actual data warehouse development projects of the participating companies.",,0-7695-1874-5,10.1109/HICSS.2003.1174602,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1174602,,Data analysis;Information analysis;Warehousing;Data warehouses;Project management;Information management;Management information systems;Research and development management;Collaboration;Risk analysis,data warehouses;formal specification;information systems,demand-driven information requirements analysis;data warehousing projects;data warehouse systems;data warehouse development project,,86,,30,IEEE,6 Feb 2003,,,IEEE,IEEE Conferences
Towards Comprehensive Requirement Analysis for Data Warehouses: Considering Security Requirements,E. Soler; V. Stefanov; J. -N. Mazon; J. Trujillo; E. Fernandez-Medina; M. Piattini,"Departamento de Informatica, Universidad de Matanzas, Cuba; Women's Postgraduate College for Internet Technologies, Vienna University of Technology, Austria; Departamento de Lenguajes y Sistemas Informáticos, Universidad de Alicante, Spain; Departamento de Lenguajes y Sistemas Informáticos, Universidad de Alicante, Spain; NA; Departamento de Tecnolog??as y Sistemas de Informaci??n, Universidad de Castilla-La Mancha, Spain","2008 Third International Conference on Availability, Reliability and Security",23 May 2008,2008,,,104,111,"Data warehouse (DW) systems integrate data from heterogeneous sources and are used by decision makers to analyze the status and the development of an organization. Traditionally, requirement analysis approaches for DWs have focused purely on information needs of decision makers, without considering other kinds of requirements such as security or performance. But modeling these issues in the early stages of the development is a cornerstone for building a DW that satisfies user expectations. In this paper, we define the two kinds of requirements for data warehousing as information and quality-of-service requirements and combine them in a comprehensive approach based on MDA (model driven architecture). This allows a separation of concerns to model requirements without losing the connection between information and quality-of-service, also in the following conceptual or logical design stages. Finally, in this paper, we introduce a security requirement model for data warehousing, and a three-step process for modeling security requirements, thus illustrating the applicability of our approach with an example.",,978-0-7695-3102-1,10.1109/ARES.2008.86,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4529327,,Data analysis;Data warehouses;Data security;Information security;Data models;Information analysis;Warehousing;Quality of service;Availability;Performance analysis,data warehouses;security of data;software architecture;systems analysis,comprehensive requirement analysis;data warehouses;security requirements;quality-of-service requirements;information requirements;model driven architecture,,16,,24,IEEE,23 May 2008,,,IEEE,IEEE Conferences
DWARF: an approach for requirements definition and management of data warehouse systems,F. R. S. Paim; J. F. B. de Castro,"SERPRO, Recife, Brazil; Universidade Federal dee Pernambuco Centro de Informatica, Recife, Pernambuco, Brazil","Proceedings. 11th IEEE International Requirements Engineering Conference, 2003.",23 Sep 2003,2003,,,75,84,"In the novel domain of data warehouse systems, software engineers are required to define a solution that integrates with a number of heterogeneous sources to extract, transform and aggregate data, as well as to offer flexibility to run adhoc queries that retrieve analytic information. Moreover, these activities should be performed based on a concise dimensional schema. This intricate process with its particular multidimensionality claims for a requirements engineering approach to aid the precise definition of data warehouse applications. We adapt the traditional requirements engineering process and propose DWARF, a data warehouse requirements definition method. A case study demonstrates how the method has been successfully applied in the company wise development of a large-scale data warehouse system that stores hundreds of gigabytes of strategic data for the Brazilian Federal Revenue Service.",1090-705X,0-7695-1980-6,10.1109/ICRE.2003.1232739,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1232739,,Data warehouses;Data engineering;Software systems;Systems engineering and theory;Data mining;Aggregates;Information retrieval;Information analysis;Multidimensional systems;Large-scale systems,data warehouses;formal specification,data warehouse system;software engineers;analytic information retrieval;requirements engineering;DWARF;data warehouse requirements definition;Brazilian Federal Revenue Service,,11,,26,IEEE,23 Sep 2003,,,IEEE,IEEE Conferences
Towards development of health Data Warehouse: Bangladesh perspective,S. I. Khan; A. S. M. L. Hoque,"Department of Computer Science and Engineering (CSE), Bangladesh University of Engineering and Technology (BUET), Dhaka, Bangladesh; Department of Computer Science and Engineering (CSE), Bangladesh University of Engineering and Technology (BUET), Dhaka, Bangladesh",2015 International Conference on Electrical Engineering and Information Communication Technology (ICEEICT),29 Oct 2015,2015,,,1,6,"Health informatics is one of the top most focuses of researchers now a days. Availability of timely and accurate data is essential for informed medical decision making. Health care organizations face a common problem with large amount of data they have in numerous systems. Such systems are unstructured and unorganized, requires computational time for data integration. Researchers, medical practitioners, health care providers and patients will not be able to utilize the knowledge stored in different repositories unless synthesize the information from disparate sources. This problem can be solved by Data warehousing. Data warehousing techniques share a common set of tasks, include requirements analysis, data design, architectural design, implementation and deployment. Developing Clinical data warehouse is complex and time consuming but is essential to deliver quality patient care. Data integration tasks of medical data store are much challenging when designing clinical data warehouse architecture. This research identifies prospects and complexities of Health data warehousing and Mining in Bangladesh perspective and proposes a data-warehousing model suitable for integrating data from different health care sources.",,978-1-4673-6676-2,10.1109/ICEEICT.2015.7307514,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7307514,Data Warehouse;Data Mining;Pathological Data;Health Data Preprocessing,Medical diagnostic imaging;Hospitals;Electrocardiography;Electroencephalography;Electromyography,bioinformatics;data integration;data mining;data warehouses;decision making;health care,data mining;clinical data warehouse architecture;data integration tasks;architectural design;data design;requirements analysis;knowledge storage;health care providers;medical practitioners;data integration;health care organizations;medical decision making;health informatics;health data warehouse development,,11,,36,IEEE,29 Oct 2015,,,IEEE,IEEE Conferences
