Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Toward Developing Data Warehousing Process Standards: An Ontology-Based Review of Existing Methodologies,A. Sen; A. P. Sinha,"Department of Information and Operations Management, Mays Business School, Texas A and M University, College Station, TX, USA; Sheldon B. Lubar School of Business, University of Wisconsin, Milwaukee, Milwaukee, WI, USA","IEEE Transactions on Systems, Man, and Cybernetics, Part C (Applications and Reviews)",19 Dec 2006,2007,37,1,17,31,"A data warehouse is developed using a data warehousing process (DWP) methodology. Currently, there are a large number of methodologies available in the data warehousing market. The reason for this is the lack of any centralized attempts at creating platform-independent DWP standards. For the development of such standards, it is very important that we first examine the current practices being followed by the data warehousing industry. In this study, we review 30 commercial data warehousing methodologies and analyze the standard practices they have adopted with respect to DWP. To perform the analysis, we first develop an ontological model of DWP based on a thorough review of the literature and inputs from experts in the data warehousing field. The ontological model consists of two hierarchies: a composition hierarchy which shows the decomposition of DWP tasks such as system development, extract, transform, and load (ETL), and end-user application design; and a classification hierarchy which specifies the alternative methods or techniques available for performing the tasks. We next apply hierarchical cluster analysis to group the methodologies that share a common set of standards. Our study provides valuable insights into the prevailing standard practices for different DWP tasks-system development, requirements analysis, architecture design, data modeling, ETL, data extraction, and end-user application design-and identifies important directions for future research on DWP standardization",1558-2442,,10.1109/TSMCC.2006.886966,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4033010,Data warehouse;data warehousing process (DWP);ontology;standards;system development,Warehousing;Standards development;Ontologies;Data warehouses;Data mining;Performance analysis;Data analysis;Standardization;Decision making;Information technology,data warehouses;formal specification;ontologies (artificial intelligence);systems analysis,data warehousing process methodology;ontology-based review;platform-independent standards;composition hierarchy;classification hierarchy;hierarchical cluster analysis;tasks-system development;requirements analysis;architecture design;data modeling;extract-transform-load;data extraction;end-user application design,,10,2,38,IEEE,19 Dec 2006,,,IEEE,IEEE Journals
Towards a data warehouse testing framework,N. ElGamal; A. E. Bastawissy; G. Galal-Edeen,"Information Systems Department Faculty of Computers and Information, Cairo University, Cairo, Egypt; Information Systems Department Faculty of Computers and Information, Cairo University, Cairo, Egypt; Information Systems Department Faculty of Computers and Information, Cairo University, Cairo, Egypt",2011 Ninth International Conference on ICT and Knowledge Engineering,16 Feb 2012,2012,,,65,71,"Data warehouse (DW) testing is a very critical stage in the DW development because decisions are made based on the information resulting from the DW. So, testing the quality of the resulting information will support the trustworthiness of the DW system. A number of approaches were made to describe how the testing process should take place in the DW environment. In this paper we will present briefly these testing approaches, and then a proposed matrix that structures the DW testing routines will be used to evaluate and compare these approaches. Afterwards an analysis of the comparison matrix will highlight the weakness points that exist in the available DW testing approaches. Finally, we will point out the requirements towards achieving a homogeneous DW testing framework. In the end, we will conclude our work.",2157-099X,978-1-4577-2162-5,10.1109/ICTKE.2012.6152416,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6152416,Data Warehouse Testing;Data Warehouse Quality,Testing;Data warehouses;Image color analysis;Educational institutions;Computers;Software,data warehouses;program testing,data warehouse testing framework;DW development;DW system;testing process;DW environment;comparison matrix;homogeneous DW testing framework,,5,,22,IEEE,16 Feb 2012,,,IEEE,IEEE Conferences
A MDA Tool for Data Warehouse,L. Zepeda; E. Ceceña; R. Quintero; R. Zatarain; L. Vega; Z. Mora; G. G. Clemente,"Sistemas y Computación, Instituto Tecnológico de Culiacán, Culiacan, Mexico; Sistemas y Computación, Instituto Tecnológico de Culiacán, Culiacan, Mexico; Sistemas y Computación, Instituto Tecnológico de Culiacán, Culiacan, Mexico; Sistemas y Computación, Instituto Tecnológico de Culiacán, Culiacan, Mexico; Sistemas y Computación, Instituto Tecnológico de Culiacán, Culiacan, Mexico; Sistemas y Computación, Instituto Tecnológico de Culiacán, Culiacan, Mexico; Departamento de Informática, Universidad Autónoma de Sinaloa, Culiacan, Mexico",2010 International Conference on Computational Science and Its Applications,3 Jun 2010,2010,,,261,265,"In this paper, we present a method based on Model Driven Architecture (MDA) for the design of Data Warehouses (DWs). The method is made up of a set of transformation rules as a mechanism to extract multidimensional schemas from the logical description of the operational database and a Computation Independent Model (CIM) for the definition of user requirements. As a result we have implemented an Eclipse based prototype that generates from the logical description of the operational database and user requirements the multidimensional schema that best reflects user’s requirements.",,978-1-4244-6462-3,10.1109/ICCSA.2010.62,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5476643,MDA;Data Warehouse;Tool,Data warehouses;Multidimensional systems;Object oriented modeling;Design methodology;Databases;Computational modeling;Computer integrated manufacturing;Books;Erbium;Warehousing,data warehouses;knowledge acquisition;software architecture;software tools,data warehouse;MDA tool;model driven architecture;multidimensional schemas;operational database;computation independent model,,4,,12,IEEE,3 Jun 2010,,,IEEE,IEEE Conferences
A framework for detecting unnecessary industrial data in ETL processes,P. Woodall; T. Jess; M. Harrison; D. McFarlane; A. Shah; W. Krechel; E. Nicks,"Department of Engineering, University of Cambridge, UK; Department of Engineering, University of Cambridge, UK; Department of Engineering, University of Cambridge, UK; Department of Engineering, University of Cambridge, UK; Department of Engineering, University of Cambridge, UK; Boeing, USA; Boeing, USA",2014 12th IEEE International Conference on Industrial Informatics (INDIN),6 Nov 2014,2014,,,472,476,"Extract transform and load (ETL) is a critical process used by industrial organisations to shift data from one database to another, such as from an operational system to a data warehouse. With the increasing amount of data stored by industrial organisations, some ETL processes can take in excess of 12 hours to complete; this can leave decision makers stranded while they wait for the data needed to support their decisions. After designing the ETL processes, inevitably data requirements can change, and much of the data that goes through the ETL process may not ever be used or needed. This paper therefore proposes a framework for dynamically detecting and predicting unnecessary data and preventing it from slowing down ETL processes - either by removing it entirely or deprioritizing it. Other advantages of the framework include being able to prioritise data cleansing tasks and determining what data should be processed first and placed into fast access memory. We show existing example algorithms that can be used for each component of the framework, and present some initial testing results as part of our research to determine whether the framework can help to reduce ETL time.",2378-363X,978-1-4799-4905-2,10.1109/INDIN.2014.6945559,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6945559,Extract transform and load;ETL;Data warehouse;reduce ETL;unnecessary data;data overload;detecting unnecessary data,Predictive models;Data warehouses;Transforms;Data mining;Data models;Sensitivity analysis;Educational institutions,data warehouses;manufacturing data processing;manufacturing industries;manufacturing systems;organisational aspects,unnecessary industrial data detection;ETL processes;extract transform and load;industrial organisations;data shift;database;operational system;data warehouse;data requirements;data cleansing tasks;access memory,,4,4,10,IEEE,6 Nov 2014,,,IEEE,IEEE Conferences
Automated fault analysis: From requirements to implementation,T. Popovic; M. Kuhn,"Test Laboratories International, Inc., College Station, TX, USA; Test Laboratories International, Inc., College Station, TX, USA",2009 IEEE Power & Energy Society General Meeting,2 Oct 2009,2009,,,1,6,"This paper discusses implementation of systems for automated processing and analysis of data recorded in substations during faults. Substation fault data is captured by various intelligent electronic devices (IEDs) such as digital fault recorders, digital protective relays, circuit breaker recorders, etc. Equipment in today's substations is provided by various vendors and comes in different vintages. System protection engineers, for example, have to deal with different IED product versions, diverse data collection and viewing software, and variety of proprietary and non-proprietary data formats. This paper illustrates how to bring together internal needs and requirements defined by a given utility, available standards and recommendations developed by professional organizations, as well as the requirements imposed externally, for example, standards defined by North American Electric Reliability Corporation (NERC).",1932-5517,978-1-4244-4241-6,10.1109/PES.2009.5275446,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5275446,automated fault analysis;substation automation;smart grid;power system faults;power system monitoring;substation data warehouse;fault location,Circuit faults;Substation protection;Standards development;Standards organizations;Data analysis;Digital relays;Protective relaying;Circuit breakers;Data engineering;Systems engineering and theory,data analysis;fault diagnosis;substation automation,automated fault analysis;substation fault data;digital fault recorder;digital protective relay;circuit breaker recorder;system protection engineer;North American Electric Reliability Corporation;NERC;intelligent electronic devices;data analysis;automated processing,,4,,12,IEEE,2 Oct 2009,,,IEEE,IEEE Conferences
Re-engineering Enterprises Using Data Warehouse as a Driver and Requirements as an Enabler,T. -M. Truong; L. -S. Lê; L. -P. Tôn,"Faculty of Computer Science & Engineering, HCMC University of Technology, Ho Chi Minh City, Vietnam; Faculty of Computer Science & Engineering, HCMC University of Technology, Ho Chi Minh City, Vietnam; Faculty of Computer Science & Engineering, HCMC University of Technology, Ho Chi Minh City, Vietnam",2017 IEEE 21st International Enterprise Distributed Object Computing Conference (EDOC),2 Nov 2017,2017,,,67,72,"Re-engineering is essential for maintaining the competitiveness of enterprises. Enterprise re-engineering involves addressing (emergent) changes, re-organizing, outsourcing, realigning, etc. In this paper, we investigate how to re-engineer enterprises by coupling high-level requirements and the data warehouse, leading to a process re-design that makes the business layer of an enterprise more effective. More specifically, we propose an approach to reasoning about enterprise's strategy together with data mining rules extracted from the data warehouse of the enterprise in order to make design-time changes to its business processes, primarily by means of eliminating redundant tasks and re-ordering inefficiently-located tasks. As such, the redesign is enabled by high-level strategic elements and driven by the enterprise data warehouse. The rationale behind this realignment is to combine yesterday's behavioral facts (i.e., mining enterprise's operational data) with today's operationalization possibilities (e.g., goals), which results in tomorrow's business model. We report our work on the enterprise architecture developed for a retailer of low-cost domestic airfare.",2325-6362,978-1-5090-3045-3,10.1109/EDOC.2017.18,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8089864,Data Mining;Process Redesign;Enterprise Re-Engineering;Enterprise Architecture;ArchiMate;BPMN,Companies;Data warehouses;Data mining;Data models;Computer architecture,business data processing;data mining;data warehouses,high-level requirements;process re-design;business layer;data mining rules;business processes;high-level strategic elements;enterprise data warehouse;enterprise architecture;re-engineering Enterprises;design-time;low-cost domestic airfare,,4,,18,IEEE,2 Nov 2017,,,IEEE,IEEE Conferences
From Early Requirements to Late Requirements Modeling for a Data Warehouse,Y. Singh; A. Gosain; M. Kumar,"Guru Gobind Singh Indraprastha University, New Delhi, India; Guru Gobind Singh Indraprastha University, New Delhi, India; Department of Computer Science & Engineering, Dr B. R. Ambedkar National Institute of Technology, New Delhi, India","2009 Fifth International Joint Conference on INC, IMS and IDC",13 Nov 2009,2009,,,798,804,"In recent years, a number of requirements engineering (RE) proposals for a data warehouse (DW) systems have been made. In the traditional/operational systems, requirements engineering has been divided into two phases: early & late requirements engineering phase. Most of the data warehouse requirements engineering (DWRE) approaches have not distinguished early requirements engineering phase from late requirements engineering phase. A very few approaches are seen in the literature that explicitly model early & late requirements for a DW. In this paper, we propose an agent-oriented approach having support from early requirements to late requirements modeling for a data warehouse. Here, the early requirements have been modeled through two models: organization model and goal model whereas late requirements are modeled through decision model. The proposed approach is illustrated through an example of the university for which DW is to be built to support decisional goals.",,978-1-4244-5209-5,10.1109/NCM.2009.226,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5331655,agent;early requirements engineering;late requirements engineering;data warehouse,Data warehouses;Data engineering;Proposals;Decision making;Information technology;Computer science;Systems engineering and theory;Programming;Computer architecture;Context modeling,data warehouses;formal specification;formal verification;object-oriented programming,early requirements modeling;late requirements modeling;data warehouse;requirements engineering proposals;agent-oriented approach;organization model;goal model;decision model,,3,,32,IEEE,13 Nov 2009,,,IEEE,IEEE Conferences
How specific should Requirements Engineering be in the context of Decision Information Systems?,C. Salinesi; I. Gam,"CRI, Université Paris I, Panthaon Sorbonne, Paris, France; CRI, Université Paris I, Panthaon Sorbonne, Paris, France",2009 Third International Conference on Research Challenges in Information Science,19 Jun 2009,2009,,,247,254,"A decision information system (DIS) is a specific component of information system specialized in the support of decision-making by means of online analytical processing tools. Data warehouses (DW), at the core of DIS, integrate and historize collections of data often designed starting from the operational components of the Information Systems (IS). Methods, techniques and tools widely used in the industry to engineer DIS focus, mostly, on designing DW models. However a few approaches were recently proposed to deal with the early phase of DIS development and maintenance, i.e. requirements engineering (RE). As for other specific kinds of systems, the expectation is that better value shall be delivered to DIS users (i.e. different sorts of decision maker such as executives, or managers, as well as control managers or operational) if more effort is spent on analyzing their requirements in early phase of DIS engineering projects. However, DIS is very specific kinds of systems. Therefore the question is how specific should RE approaches be when developing a DIS? To addresses this question, we undertook an in depth analysis of (a) the specificities of DIS systems that shall have an impact on RE approach (b) expectations from DIS project stakeholders, and (c) gap analysis of DIS specific RE approaches and traditional RE approaches. The analysis is structured around the three main axes of RE approaches, i.e. formalization, specification, and consistency. The paper shows that although on a fundamental level RE for DIS approaches does not show conceptual differences with traditional RE for IS approaches, some differences exist in the way of working.",2151-1357,978-1-4244-2864-9,10.1109/RCIS.2009.5089288,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5089288,Information System;Decision Support;Data Warehouse;Requirements Engineering,Information systems;Data models;Data warehouses;Project management;Engineering management;Management information systems;Decision making;Information analysis;Design engineering;Control systems,data mining;data warehouses;decision making;formal specification,requirements engineering;decision information systems;online analytical processing tools;data warehouses;formalization;specification;consistency;decision-making,,3,,34,IEEE,19 Jun 2009,,,IEEE,IEEE Conferences
Towards data warehouse business quality through requirements elicitation,A. Gosain; J. Singh,"USIT GGSIP University, New Delhi, India; USIT GGSIP University, New Delhi, India",2008 First International Conference on the Applications of Digital Information and Web Technologies (ICADIWT),31 Oct 2008,2008,,,464,469,"Data warehouses are mainly used to support decision-making based on the analysis of highly heterogeneous sources to extract, transform and aggregate data, as well as facilitating ad-hoc queries that retrieve the decisional information. Data warehouse development involves many knowledge-intensive activities, of which requirements elicitation is recognized as being crucial and difficult to model. This paper adapts the data warehouse requirements elicitation process, namely informational scenarios, to incorporate business quality at the requirements engineering level of the DW development. To accomplish this, we look at DW business quality mainly from the context of changing economic factors and environmental concerns.",,978-1-4244-2623-2,10.1109/ICADIWT.2008.4664394,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4664394,,,business data processing;data warehouses;decision making,data warehouse business quality;decision-making;heterogeneous sources;ad-hoc queries;decisional information retrieval;knowledge-intensive activities;informational scenarios,,3,,18,IEEE,31 Oct 2008,,,IEEE,IEEE Conferences
A requirements driven approach to data warehouse consolidation,D. Prakash; N. Prakash,"School of Mathematics, Statistics, and Computational Science, Central University of Rajasthan, Kishangarh, India; ICLC, New Delhi, India",2017 11th International Conference on Research Challenges in Information Science (RCIS),26 Jun 2017,2017,,,449,450,"Data mart consolidation does schema as well as data integration of data marts so as to produce a single physical data mart/warehouse. This implies that multiple data marts must exist. Our proposal is to integrate requirements specifications of data marts. This upstream integration saves the effort of downstream activities performed when data marts are independently developed and then integrated. Without this integration, we get a new problem of loss of business control. Our integration approach is organized in five steps.",2151-1357,978-1-5090-5476-3,10.1109/RCIS.2017.7956580,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7956580,Data mart integration;data mart consolidation;Data Warehouse for policy enforcement rules;Operational data warehouse;Early Information;Correspondence strategy,Data warehouses;Data integration;Proposals;Organizations;Databases;Mathematics,data integration;data warehouses;formal specification;formal verification;systems analysis,requirements driven approach;data warehouse consolidation;data mart consolidation;data integration;requirements specifications,,2,,11,IEEE,26 Jun 2017,,,IEEE,IEEE Conferences
Empirical Validation of Requirements Traceability Metrics for Requirements Model of Data Warehouse using SVM,T. Singh; M. Kumar,"University School of Information, Communication & Technology, Guru Gobind Singh Indraprastha University, Delhi, India; Department of Computer Science and Engg., Ambedkar Insitute of Advanced Communication Technologies & Research, Delhi, India",2020 IEEE 17th India Council International Conference (INDICON),5 Feb 2021,2020,,,1,5,"Data warehouse stores historical information, which is used by managers to take organizational decisions. Thus, information quality of data warehouse becomes important and assessed by the quality of its data model. Various authors proposed different metrics for assessment of the data model quality at physical, logical and conceptual level. However, very less research proposals are seen in the literature to assess the quality of requirements data model. Requirements completeness and traceability metrics for requirements model are proposed and formally validated, but no empirical validation is witnessed in the past. In this paper, empirical validation of requirements traceability metrics is performed for predicting the understandability of data warehouse requirements schemas using support vector machine. The results showed high accuracy and precision for predicting understandability of requirements schemas. In this way, quality of requirements model may be improved and subsequently used for obtaining good quality of conceptual data model for data warehouse.",2325-9418,978-1-7281-6916-3,10.1109/INDICON49873.2020.9342245,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9342245,Data Warehouse;Requirements Model;Requirements Engineering;Requirements Traceability Metrics;Understandability of Requirements Schemas;Support Vector Machine,Measurement;Support vector machines;Conferences;Data warehouses;Data models;Proposals,data models;data warehouses;support vector machines,data model quality;physical level;logical level;conceptual level;requirements data model;empirical validation;requirements traceability metrics;data warehouse requirements schemas;conceptual data model;information quality,,2,,32,IEEE,5 Feb 2021,,,IEEE,IEEE Conferences
Formally Investigating Traceability Metrics of Data Warehouse Requirements Model using Briand's Framework,T. Singh; M. Kumar,"University School of Information, Communication & Technology, Guru Gobind Singh Indraprastha University, Delhi, India; Department of Computer Science and Engg., Netaji Subhas University of Technology, East Campus (Formerly Ambedkar Institute of Advanced Communication Technologies and Research), Delhi, India",2021 5th International Conference on Intelligent Computing and Control Systems (ICICCS),26 May 2021,2021,,,1203,1209,"Data warehouse maintains historical information, which is used for taking important decisions in an enterprise. Hence, it becomes necessary to maintain information quality of data warehouse. Many researchers suggested various metrics for the evaluation of data model quality for maintaining information quality of data warehouse. Data models are at different level of abstraction namely; requirements, conceptual, logical and physical model. Quite a few investigations were witnessed in the past for evaluating quality of requirements model in formal and empirical manner. In this study, formal investigation of requirements traceability metrics of requirements model for data warehouse is carried out by employing Briand's property-based framework to ensure whether they are valid and are defined in the approved manner which in-turn build the quality based data warehouse. Results showed that out of seven traceability metrics, five metrics are found as cohesion measure and rest two metrics are found as coupling measure; which concluded that these metrics are valid and defined correctly. Thus, these requirements traceability metrics can be used successfully to assess the quality of requirements model of data warehouse.",,978-1-6654-1272-8,10.1109/ICICCS51141.2021.9432071,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9432071,Briand's Framework;Data Warehouse;Formal Investigation;Requirements Engineering;Requirements Schemas;Requirements Traceability Metrics,Measurement;Couplings;Hospitals;Organizations;Data warehouses;Software systems;Data models,data models;data warehouses;software metrics,conceptual model;logical model;physical model;requirements traceability metrics;quality based data warehouse;data warehouse requirements model;information quality;data model quality;Briand's property-based framework,,2,,26,IEEE,26 May 2021,,,IEEE,IEEE Conferences
Requirements Engineering Tools,J. M. Carrillo de Gea; J. Nicolás; J. L. F. Alemán; A. Toval; C. Ebert; A. Vizcaíno,"Software Engineering Research Group, Faculty of Computer Science, University of Murcia, Spain; Software Engineering Research Group, Faculty of Computer Science, University of Murcia, Spain; Software Engineering Research Group, Faculty of Computer Science, University of Murcia, Spain; Software Engineering Research Group, Faculty of Computer Science, University of Murcia, Spain; Vector Consulting Services; Alarcos Research Group, Escuela Superior de Informática, University of Castilla La Mancha, Spain",IEEE Software,23 Jun 2011,2011,28,4,86,91,"Requirements engineering (RE) tools are increasingly used to ease the RE processes and allow for more systematic and formalized handling of requirements, change management and traceability. For developers and companies evaluating the use of RE tools it is thus essential to know which RE processes are supported by tools and how they fit to their own priorities. The answer isn't easy because many sales prospects highlight numerous features—yet leave out to which degree they're supported and whether all features really matter. To gain insight into how current RE tools adapt to RE activities, we ran a 146-item survey based on the features covered by the ISO/IEC TR 24766:2009, a new framework for assessing RE tool capabilities. We received responses from 37 participants, covering all relevant tools. In addition to the tools' score in each activity, we assessed their performance in three concrete use scenarios. Our findings can help practitioners select an RE tool as well as provide areas for improvement for RE tools developers.",1937-4194,,10.1109/MS.2011.81,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5929527,requirements engineering tools;survey;ISO/IEC TR 24766:2009;software;software engineering,Design methodology;Software development management;Change detection algorithms;Business process re-engineering;System analysis and design,formal specification;formal verification;software tools;systems analysis,requirements engineering tools;RE processes;requirements handling;change management;change traceability;ISO-IEC TR 24766:2009 standard,,39,,2,IEEE,23 Jun 2011,,,IEEE,IEEE Magazines
